text,mark
Удобный отель. Супер парк. На 4 этаже здания Отеля расположен отличный фитнес клуб сети World Class с бассейном. Рекомендую!,5
"Отель, который и на 4 не тянет, не то что 5! Заселилась в 23, в номере не работал телевизор, по очереди начали ходить сотрудники один за одним, никто не мог решить вопрос. Переселили в другой номер, в 1 ночи пришлось заново собрать вещи и переселиться. На следующий день номер продлить по той же цене не удалось, на ресепшене называли разные цены, предлагали за 24 тр, когда на Яндекс путешествиях он стоил 18. Продлив через Яндекс, сказали, что номера с одной 2 х спальной кровати нет и дали 2 раздельные, при полупустой гостинице. Поднявшись за вещами в номер зайти не удалось, позвонила на ресепшен, сказали, что сотрудник Владислав уже едет в лифте, спустя 15 минут Влада я так и не увидела. Позвонив вновь на ресепшен , сотрудница Анастасия была вовсе неприветлива и предложила НЕ ЗАНИМАТЬ ТЕЛЕФОННУЮ ЛИНИЮ! Сказать, что я была удивлена такому совету и тонну-ничего не сказать. Завтраки неплохие, разнообразные. Персонал в ресторане любезный, в отличии от ресепшен. Больше никогда не остановлюсь и никому не посоветую.",1
"Чисто. Шикарный вид. Красивые номера. Приятный персонал. Рядом с отелем сад камней: можно прогуляться, отдохнуть от суеты. В номере тепло, теплый пол в ванной комнате, регулируемый.",5
Лучший отель в моей жизни!,5
"Тихо, чисто, аккуратно. Мне понравилось.",5
"Интересное место, удобная локация",5
"Очень достойный отель! Соответствует заявленным 5 звёздам ! Останавливалась во время деловой поездки и осталась довольна. Уровень сервиса на высшем уровне, чистота, номера светлые, просторные, шикарный вид из окон. При заезде была проблема с сейфом , в первый вечер не решили, починили только на второй день , и в качестве компенсации написали открытку и презентовали вкусный десерт))) Завтрак включен и он разнообразен и очень вкусен! Рекомендую 👍",5
"Отдыха во второй раз в этом замечательном отеле. Обязательно будет и третий!))) спасибо за сервис, оперативность и вкусную еду",5
"Супер гостиница , современная, чистота идеальная , комфорт, обалденные завтраки , приветливый персонал. Просто влюблена 🥰",5
Все замечательно рекомендую всем советую посетить,5
Отличный завтрак. Хорошие номера. Качественный сервис.,5
Ресторан -восторг!!!,5
Понравилось расположение и чистая территория,5
"Оценка исключительно лобби бару и официантам! Обычный обед превратился в самый неприятный час. Принесли холодные пельмени через 40 минут, не предупредив о том что блюдо долго готовится. Принесли и сказали: сметана в стопе, ничего не предложив взамен, попросили другой соус, Егор отнесли через 10 минут. Десерт Москва - невкусный, забрали, почти целый десерт, не спросили почему он еле тронут, не убрали из счета. Официантка была грубой.",2
"Отличное месторасположение, постоянно улучшающийся сервис с момента открытия.",5
Огромный отель и роскошный китайский парк,5
Отличный отель . Номера оборудованы автоматикой . В ресторане все очень вкусно . Интерьер красивый .,5
"О, мы в восторге от этого отеля. Праздновали подруге юбилей, и останавливались в нем. Белые постели, климат контроль, все есть для душа и ванны, белые халаты. А так же ресторан!!! Превосходная еда, закуски, сладости, фрукты. Только 5!!!",5
Супер красивый и удобный отель А парк на территории просто загляденье,5
"Отличный отель! Очень удобные кровати, в номерах есть все необходимое, персонал вежливый. Рекомендую!",5
